course_name,question_desc,option_a,option_b,option_c,option_d,correct_option,difficulty_level,chapter_name,subject_name
CA CPT LAW,"The Objective of the Sale of Goods Act, 1930 is to define and amend the law relating to -",Sale of Immovable Properties,Sale of Goods,Agreements to Sell,All of the above,2,1,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"The Sale of Goods Act, 1930 extends to the whole of India, except the state of -",Maharashtra,Jammu and Kashmir,Tamilnadu,Uttar Pradesh,2,1,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"The Sale of Goods Act, 1930 came into force on -",1st day of July 1930,1st day of September 1930,1st day of January 1930,31st day of December 1930,1,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"The Sale of Goods Act, 1930 deals with -",Cash Sales,Credit Sales,Hire Purchase Sales,Sale of Goods in general,4,1,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"Section .... of the Sale of Goods Act, 1930 defines the term ""Buyer"".",2(1),2(2),2(3),2(4),1,3,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"Under the Sale of Goods Act, 1930 ""Buyer"" means a person who -",buys goods,agrees to buy goods,either a or b,neither a nor b,3,1,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"Section .....of the Sale of Goods Act, 1930 defines the term 'Delivery'",2(1),2(2),2(3),2(4),2,3,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"""Delivery"" as defined under Section 2(2) of the Sale of Goods Act, means ",Voluntary transfer of possession,Gratuitous transfer of possession,Involuntary transfer of possession,Statutory transfer of possession,1,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"""Delivery"" as defined under Section 2(2) of the Sale of Goods Act, means voluntary transfer of ....",Possession,Ownership,Risk,All of the above,1,3,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"""Delivery"" within the meaning of the Sale of Goods Act, can be -",Symbolic,Actual,Constructive,either a or b or c,4,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,Which is an instance of Symbolic Delivery of Goods -,Abandonment by a person who is in possession of the goods,Transfer of a Bill of Lading,Physical Delivery of goods,All of the above,2,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"Goods are said to be in a ................. , when they are in such state that the buyer would, under the contract, be bound to take delivery of them.",Delivery state,Deliverable state,Processed state,Clean state,2,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"Section .... of the Sale of Goods Act, 1930 defines the term ""Documents of Title to Goods"".",2(1),2(2),2(3),2(4),4,3,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"The definition of ""Documents of title to goods"" given in the Sale of Goods Act, is -",Exhaustive,Inclusive,Exclusive,not clear,2,2,SOGA 1930- PRELIMINARIES,Mercentile Law
CA CPT LAW,"The definition of the term ""Documents of Title to Goods"" given in the Sale of Goods Act, is descriptive.",TRUE,Partly True,FALSE,Subject to conditions,1,2,SOGA 1930- PRELIMINARIES,Mercentile Law
