course_name,question_desc,option_a,option_b,option_c,option_d,correct_option,difficulty_level,chapter_name,subject_name,
CA CPT QT,"On Solving <IMG alt="""" src=""C:\Program Files\24x7Vidya\24x7 Vidya Teacher\AppImages\Equations1.1_image002 (2).png""> we get one values of x as:",4/13/2016,1/13/2016,2/13/2016,3/13/2016,4,2,Equations,Quatitative Aptitude,
CA CPT QT,Find the positive value of k for which the equations: x<SUP><SMALL><SUP><SMALL>2</SMALL></SUP></SMALL></SUP> + kx + 64 = 0 and x<SUP><SMALL><SUP><SMALL>2</SMALL></SUP></SMALL></SUP>  8x + k = 0 will have real roots:,12,16,18,22,2,2,Equations,Quatitative Aptitude,
CA CPT QT,"The equation of the straight line through the point of intersection of x + 2y  5 = 0 and x  3y  7 = 0 and passing through the point (1, 0) is:",x + 12y = 1,x  12y = 1,x  12y = 11,None,1,2,Equations,Quatitative Aptitude,
CA CPT QT,"A man sells 6 radios and 4 televisions for Rs. 18,480. If 14 radios and 2 televisions are sold for the same amount, what is the price of a televisions?","Rs. 1,848",Rs. 840,"Rs. 1,680","Rs. 3,360",4,2,Equations,Quatitative Aptitude,
CA CPT QT,"If one root of a equation is 2 + <IMG src=""C:\Documents and Settings\harshals\Desktop\Teacher application\AppImages\Equations1.1_image034_0004.png"">then the quadratic equation is:",x<SUP><SMALL>2</SMALL></SUP> + 4x  1 = 0,x<SUP><SMALL>2</SMALL></SUP>  4x  1 = 0,x<SUP><SMALL>2</SMALL></SUP> + 4x + 1 = 0,x<SUP><SMALL>2</SMALL></SUP>  4x + 1 = 0,2,2,Equations,Quatitative Aptitude,
CA CPT QT,"The equation of a line which is perpendicular to 5x  2y = 7 and passes through the mid-points of the line joining (2, 7) and ( - 4, 1) is:",2x  5y  18 = 0,2x + 5y + 18 = 0,2x + 5y  18 = 0,None of these,3,2,Equations,Quatitative Aptitude,
CA CPT QT,"A man starts his job with a certain monthly salary and earns a fixed increment every year. If his salary was Rs. 1,500 after 4 years of service and Rs. 1,800 after 10 years of service, what was his starting salary and what is the annual increment in rupees?","Rs. 1,300, Rs. 50","Rs. 1,100, Rs. 50","Rs. 1,500, Rs. 30",None,1,2,Equations,Quatitative Aptitude,
CA CPT QT,"The area of a triangle with vertices (1, 3), (5, 6) and (-3, 4) in terms of square units is:",5,3,8,13,3,2,Equations,Quatitative Aptitude,
CA CPT QT,"The line joining ( - 1, 1) and (2, - 2) and the line joining (1, 2) and (2, k) are perpendicular to each other for the following value of k:",1,0, 1,3,4,2,Equations,Quatitative Aptitude,
CA CPT QT,"The sides of an equilateral triangle are shortened by 12 units, 13 units and 14 units respectively and a right angled triangle is formed. The side of the equilateral triangle is:",17 units,16 units,15 units,18 units,1,2,Equations,Quatitative Aptitude,
CA CPT QT,The value of <img>Equations1.1_image012.png</img>is:, 3,2,3,4,3,2,Equations,Quatitative Aptitude,
CA CPT QT,"Area of a rectangular garden is 8,000 square metres. Ratio in length and breadth is 5:4 A path of uniform width, runs all round the inside of the garden. If the path occupies 3,200 m2, what is its width?",12m,6m,10m,4m,3,2,Equations,Quatitative Aptitude,
CA CPT QT,"The value of k for which the points (k, 1), (5, 5) and (10, 7) may be collinear is:",k = - 5,k = 7,k = 9,k = 1,1,2,Equations,Quatitative Aptitude,
