course_parent,course_name,question_desc,option_a,option_b,option_c,option_d,correct_option,difficulty_level,chapter_name,subject_name
ca_cpt,CA CPT ECONOMICS,Economic activity began due to,Money,Availability of resources,Wants,Population,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Wants are many but ______ to satisfy them are limited,Earning,Time,Goods,Means,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following statement is correct?,All wants can be satisfied,All wants cannot be satisfied,Future wants can be satisfied,No need to satisfy wants,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics concerns itself with how a nation allocates its _______ productive resources to various uses.,Physical,Natural,Scarce,Abundant,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics is the study of,How the society manages its unlimited resources,How the society manages its scarce resources,How the society increase its resources,How to fully satisfy our unlimited wants,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics also deals with the process by which _____capacity of scarce resources can be increased.,Productive,Built-in,Efficient,Full,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economic problems are complex which are affected by,Economic factors,Social factors,Political factors,All the above,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics is a science since It studies ------------ and effect relationship between economic phenomena.,Action,Change,Cause,Casual,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics is called a science since,It is capable of measurement,It has its own methodology of study,It forecasts the future market condition,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics is not a perfect science since it is based on unpredictable__________ behavior.,Human,Social,Political,All the above,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics is not a pure science since,Economist do not have uniform opinion,Money used to measure the outcomes in economics is itself a dependent variable,It is not possible to make correct: predictions about the behaviour of economic variables,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics is also an art since,It provides theoretical base,It provides practical solutions,It provides forecasting tools,All the above,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics is an art in its,Methodology,Presentation,Application,Prediction,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who defines economics as a science of wealth?,Adam Smith,J.B. Say,Other classical economists,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Adam Smith's definition ignored creation of ______wealth,Material,Immaterial,Present,Past,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which one is not an example for immaterial wealth?,Doctor,Teacher,Agriculturist,Chartered accountant,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Wealth definition ignores,Social welfare,Production of wealth,Distribution of wealth,Individual welfare,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who gave welfare definition of economics?,Adam Smith,L. Robbins,Samuelson,A. Marshall,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"To Alfred Marshall, economics on the one side is study of wealth and on the other more important side is a part of study of",Welfare,Man,Scarcity,Choice,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Pigou emphasizes social welfare but only that part of it which can be measured with,Satisfaction,Certainty,Money,Utility,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Economics is the science which studies human behaviour as are relationship between ends and scarce means which have ________ uses.,Alternative,Multiple,Delayed,Future,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,A study how indirect taxes will affect the consumer prices of commodities leading to inflation is an example for,Microeconomics,Business economics,Macroeconomics,positive economics,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which one of the following indicates microeconomic approach?,Inflation rate in the economy,Lock out in DUNLOP factory,Household savings in India,Percapita income in India,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which one does not fall under macroeconomic approach?,Balance of payments in India,Money supply in India,Monetary policy of RBI,Economic conditions of a section of people,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,State which of the following represents a mac&shy;ro concept from the national point of view?,Balance sheet of Maruti Udyog Limited,Growth rate of Indian industries,Capital-output ratio of Reliance industry Limited,All the above,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which one of the following statement is correct?,Micro and Macroeconomics are inter dependent,Micro and Macroeconomics are independent,Micro and Macroeconomics are unrelated,Micro and Macroeconomics are one and the same,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Micro economic and Macroeconomics are ------------ phenomenon.,Absolute,Independent,Relative,None of the above,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following statement is correct?,What is macro at one point may become micro when it is compared to bigger concepts.,National income is micro when it is compared with world income.,Compared to national income state income is micro.,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which one of the following statement is an example for the view that what is true at micro level may not always be true at macro level?,Inflation is bad and deflation is worse,Saving is a virtue for an individual but vice for a nation,Firm and industry are one and the same,Supply creates Its own demand,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"To Robbins, economics is",A science,A science of choice,A study of scarcity,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,If wants are limited there won't be any,Social problem,Economic problem,Human problem,Political problem,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"___________ does not distinguish between material and non-material, between welfare and non welfare activities.",Alfred Marshall,Adam Smith,Lionel Robbins,A.C. Pigou,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Who said that 'economics is neutral between ends'?,Adam Smith,L. Robbins,Marshall,A.C. Pigou,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Find the correct match.,An enquiry into the nature and causes wealth of nation: A.C. Pigou,Economics is the science which studies human behaviour as a relationship between ends and scarce means which have alternative uses: Robbins,Science which deals with wealth: Alfred Marshall,On the one side a study of wealth and on the other and more important side a part of study of man: Adam Smith,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Robbins definition does not cover the theory of,Scarcity,Economic growth,Choice making,Alternative uses,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Whose definition covers economic growth over time?,L Robbins,Alfred Marshall,Paul. A. Samuelson,A.C. Pigou,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,What is the fundamental premise of economics?,individuals choose the alternatives from which they get the maximum gains.,Individuals can set goals and act in a manner consistent with goals.,"Under all circumstances, individual choice always involves trade-off.",Natural resources are always scarce.,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,A study of economics which does not pass value judgment is called,Normative economics,Positive economics or pure science,Microeconomics,Macroeconomics,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Whose definition emphasized positive approach to economics?,Lionel Robbins,Adam Smith,Alfred Marshall,Paul A Samuelson,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Marshall emphasized approach in his definition.,Positive,Neutral,Normative,Selective,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following statement would you consider to be a normative one?,Increase the rate of taxation collect more revenue,"Tax the higher income on a higher rate, middle income on moderate rate and low&shy;er income on a lower rate to collect more revenue.",Reduce inflation with more unemploy&shy;ment,Tax more people to collect more revenue,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which one of the following is an example for positive economic analysis?,Distribute essential goods to the poor lat tower prices.,Reduce inequality between rich and poor through taxation.,An analysis of the relationship between price of a commodity and its quantity purchased.,Invest more on primary sector reduce poverty.,3,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,A study of the economic behaviour of an individual is called,Positive economics,Microeconomics,Macroeconomics,Normative economics,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which one of the following comes under micro economic analysis?,Factor pricing,Product pricing,Consumer behaviour,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,A study of aggregates is called ________ economics.,Macroeconomics,Microeconomics,Positive economics,Normative economics,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which one of the following statement is correct?,Inductive logic proceeds from particular to general,Inductive logic proceeds from general to particular,Inductive methods is based on fundamental assumptions,In inductive method deduced hypothesis is being tested,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The major step involved in inductive method are,Perception of the problem,"Collection, classification and analysis of data",Find out the reason for the established relationship through statistical analysis,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the principle have been obtained through inductive method?,Production function,Consumption function,Demand function,All the above,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Deductive and inductive methods are,Mutually exclusive,Not mutually exclusive,Not mutually inclusive,Unrelated,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Though economic laws are not so exact as the laws of physical sciences but they are more exact than the laws of other social sciences because it,is based on ethical and moral principles,Uses the measuring rod of money,Is enforceable like statutory laws,All the above,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Ceteris paribus means,Other things remaining same,Other things remaining different,Other thing are unequal,None of the above,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,"Which of the following is not micro economic '""'subject matter?",The cost of producing ambulances for the all India Institute of Medical Sciences in Delhi,The price of Oranges in Nagpur,The quantity of wheat procured by the Food Corporation of India,The country's annual rate of growth.,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,The two methods used in economics to derive generalization or laws are known as________ .,Micro Economics and Macroeconomics,Deductive logic and inductive logic,Positive approach and Normative approach,None of the above,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Deductive logic proceeds from,General to particular,Particular to general,From micro to macro,From individual to society,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Deductive method is also known as,Priori method,Abstract method,Hypothetical method,All the above,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following steps are involved in deriving economic generalizations through deductive logic?,Perception of the problem,Defining the technical terms and making appropriate assumptions,Deducing and testing hypothesis,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following steps relates only to deductive method in economics?,Perception of the problem,Testing hypothesis,Collection of data,Classification of data,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the laws of economics are derived on the basis of deductive logic?,Law of demand,Law of supply,Law of diminishing returns,All the above,4,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Micro economics theory deals with,Economic behaviour of individual economic decision making units,Fiscal decision of Central Bank,Trade relations of competitors,Economic growth of the society,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is a central problem of every economy,Abundance of resources,Scarcity of economic resources,Moral and ethical values,Illiteracy,2,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Positive economic theory deals with,What is or how the economic problem faced by the society are solved,How the problem should be solved,What to produce,When to produce,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Normative economic theory deals with,What is or how the economic problem facing the society are solved,How the problem should be solved,What to produce,When to produce,2,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,In a mixed economy which sector(s) is/are found,Private only,Public sector only,None,Both a and b,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is/are an economic resource?,Land,Capital,Labour,All the three,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is/are a non-economic resource?,Air,Water,Sunlight,All the three,4,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of these is not land in economics,Tehri Dam,Forest reserves of Assam,Fish reserves in the Bay of Bengal,Herbal plant of Uttaranchal,1,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Scarcity of resources leads to,Unsatisfaction of human wants,Evaluation of alternative uses of scarce resources,Both,None,3,1,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Which of the following is the best general definition of the study of economics?,Individual and social choice in the face of scarcity.,Individuals desire to accumulate wealth.,Inflation and unemployment in a developing economy.,Business decision making under open competition.,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Macro economic theory is also known as,income theory,Price theory,Theory of firm,Distribution theory,1,2,Introduction to Micro Economic,Genearal Economics
ca_cpt,CA CPT ECONOMICS,Inductive method is increasingly used because,It involves testing of hypothesis,It is based on accepted truth,It shows that generalizations are valid only under certain conditions,All the above,3,3,Introduction to Micro Economic,Genearal Economics
