subject_name,subject_id_in_db,correct_option,question_desc,option_a,option_b,option_c,option_d,option_e
Creativity and innovation',1,c,Among the following which are to be considered as to determine the competitive power in a business situation:,a.) Threat of substitution,b.) Threat of new entry,c.) Both (a) & (b),d.) None of the above,
Creativity and innovation',1,d,Among the following which are to be considered as steps of environmental scanning process:,a.) Searching for information resources,b.) Selecting information resources to sc'a,c.) Identifying criteria by which to scan,d.) All of the above,
Creativity and innovation',1,c,Among the following which are to be considered as steps of environmental scanning process:,a.) Scanning,b.) Determinin'g special action to take on the scanning result,c.) Both (a)&(b),d.) None of the above,
Creativity and innovation',1,d,Among the following which are to be considered as types of environmental scanning :,a.) Passive scanning,b.) Active scanning,c.) Directed scanning,d.) All of the above,
Creativity and innovation',1,d,Conducting a market assessment helps to :,a.) Prepare to enter a new market,b.) Launch a new product/services,c.) Start a new business,d.) All of the above,
Creativity and innovation',1,d,Among the following which steps are to be considered as steps of marketing assessment:,a.) Defining the problem,b.) Analysis of the situat'io,c.) Obtaining data that is specific to the problem,d.) All of the above,
Creativity and innovation',1,d,Among the following which are to be considered as steps of marketing assessment:,a.) Analysis and interpreting the data,b.) Fostering ideas and problem solving,c.) Designing a plans,d.) All of the above,
Creativity and innovation',1,b,Change is an organizational reality :,a.) False,b.) True,c.) Partly true,d.) Partly false,
Creativity and innovation',1,b,The market place is external force of change:,a.) False,b.) True,c.) Partly true,d.) Partly false,
Creativity and innovation',1,d,What are the several key areas of business plan:,a.) Goal,b.) Functi'onal strategie,c.) Budget,d.) All of the above,
Creativity and innovation',1,c,What are the several key areas of business plan:,a.) Cash flow projection,b.) Regular reviews,c.) Both (a) & (b),d.) None of the above,
Creativity and innovation',1,d,What skills are necessary for a successful business?,a.) Engineering skills,b.) Manufacturing skills,c.) Selling & business skills,d.) All of the above,
Creativity and innovation',1,d,Among the following which are to be considered as distinct phases of business plans:,a.) Identification and evaluation of the opportunity,b.) Development of the business plan,c.) Determination of the required resources,d.) All of the above,
Creativity and innovation',1,a,The most famous example of streve wozniak is:,a.) Apple computers,b.) Orange,c.) Lenovo,d.) None of the above,
Creativity and innovation',1,d,An opportunity assessment plan includes :,a.) A description of the product or service,b.) An assessment of the opportunity,c.) An assessment of the entrepreneur and the team,d.) All of the above,
Creativity and innovation',1,d,Among the following which statement are considered to be myths or misconception about the business plan :,a.) Business plan are only for start up companies,"b.) Business plan should be as detailed as possible' the longer the plan, the better chance that the company will be finance","c.) Business plan should emphasize ideas and concepts, not people",d.) All of the above,
Creativity and innovation',1,c,Among the following which statements are considered to be myths or misconceptions about the business plan:,a.) Only the founding entrepreneur should prepare business plan,b.) Optimism should prevail over realism,c.) Both (a) &(b),d.) None of the above,
Creativity and innovation',1,d,"The motivation is not a package in itself, it is accompanied by:",a.) Self efficiency,b.) Creativity,c.) Risk taking,d.) All of the above,
